Operator;Incidents
Metroline;3457
"Arriva London North";3208
"East London";2402
"London United";2263
Selkent;1808
"Arriva London South";1743
"London General";1723
"London Central";1367
"Metroline West";1232
"Abellio London";963
Metrobus;786
"Tower Transit";738
"Arriva The Shires";305
"Blue Triangle Buses";281
"London Sovereign";206
"Quality Line";142
"Abellio West";126
"Arriva Kent Thameside";107
"Docklands Buses";100
"C T Plus";77
"TGM GROUP";61
"H R Richmond";59
"Sullivan Buses";2
"Uno Buses";1
"Sullivan Bus & Coach";1
