Year,Date Of Incident,Route,Operator,Group Name,Bus Garage,Borough,Injury Result Description,Incident Event Type,Victim Category,Victims Sex,Victims Age
2015,01-01-15,1,London General,Go-Ahead,Garage Not Available,Southwark,Injuries treated on scene,Onboard Injuries,Passenger,Male,Child
2015,01-01-15,4,Metroline,Metroline,Garage Not Available,Islington,Injuries treated on scene,Onboard Injuries,Passenger,Male,Unknown
2015,01-01-15,5,East London,Stagecoach,Garage Not Available,Havering,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Male,Elderly
2015,01-01-15,5,East London,Stagecoach,Garage Not Available,None London Borough,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Male,Elderly
2015,01-01-15,6,Metroline,Metroline,Garage Not Available,Westminster,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Pedestrian,Female,Elderly
2015,01-01-15,6,Metroline,Metroline,Garage Not Available,Westminster,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Female,Elderly
2015,01-01-15,8,Selkent,Stagecoach,Garage Not Available,City of London,Injuries treated on scene,Onboard Injuries,Passenger,Male,Adult
2015,01-01-15,9,London United,London United,Garage Not Available,Hammersmith & Fulham,Injuries treated on scene,Onboard Injuries,Conductor,Unknown,Unknown
2015,01-01-15,10,London United,London United,Garage Not Available,Westminster,Injuries treated on scene,Onboard Injuries,Passenger,Female,Elderly
2015,01-01-15,11,London General,Go-Ahead,Garage Not Available,City of London,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Female,Adult
2015,01-01-15,11,London General,Go-Ahead,Garage Not Available,Westminster,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult
2015,01-01-15,11,London General,Go-Ahead,Garage Not Available,Westminster,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult
2015,01-01-15,12,London Central,Go-Ahead,Garage Not Available,Southwark,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult
2015,01-01-15,12,London Central,Go-Ahead,Garage Not Available,Southwark,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Passenger,Male,Child
2015,01-01-15,12,London Central,Go-Ahead,Garage Not Available,Southwark,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Male,Elderly
2015,01-01-15,12,London Central,Go-Ahead,Garage Not Available,Westminster,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Female,Unknown
2015,01-01-15,14,London General,Go-Ahead,Garage Not Available,Kensington & Chelsea,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,14,London General,Go-Ahead,Garage Not Available,Westminster,Reported Minor Injury - Treated at Hospital,Collision Incident,Pedestrian,Unknown,Unknown
